word,meaning
zit,"'pimple, facial blemish, granito, espinilla.', 'I looked in the mirror this morning and noticed a huge zit on the end of my nose!'"
tantalize,"'tentar.', ""The children weren't allowed any of the freshly baked pie and the smell tantalized them."""
supersede,"'take place of, sustituir, reemplazar, desbancar, suplantar.', 'This operating system supersedes the old system, which no longer delivered what we needed.'"
suntan,"'tan: skin browned by the sun, bronceado.', 'Where have you been to get such a lovely suntan?'"
stasis,'A situation in which there is no change or development.'
pass the buck,"'put blame on\xa0 sb else.', 'Sunak says he will not pass the buck if he misses key inflation pledge.'"
scuttle,"'to run with quick short steps. (insect: crawl quickly). Escabullirse.', 'A beetle scuttled along the rail.'"
thicko,"'stupid person.', 'Tabloid cast Prince Harry as a thicko.'"
scrawny,"'thin, bony, flacucho, esquelético, escuálido.', 'Since he was so scrawny, it was hard to believe that Eric ate so much.'"
schmuck,"'estúpido, idiota.', 'Only a schmuck would go to the beach without sunblock.'"
revile,'abuse verbally'
qualm,"'aprensión, recelo, escrúpulo.', ""I don't have the slightest qualm about not inviting him."""
somersault,"'acrobatic flip, voltereta, vuelta de campana, salto mortal.', 'The little boy did a somersault and then a cartwheel.', 'The government has done a somersault on its employment benefits policy.'"
paragon,"'model, example.', 'The mayor was a paragon of virtue in the town.'"
mugger,"'person who attacks and robs, atracador.'"
miser,"'ungenerous person, tacaño, miserable.', ""That miser wouldn't share bread with a starving person."", 'A person who is very stingy or greedy with their money.'"
maelstrom,"'poweful whirpool, torbellino, vorágine, turbulent situation.'"
jabber,"'talk incoherently, blabber.', ""I can't take another meeting with her: she jabbers on for hours."""
innuendo,"'insinuation, insinuación, indirecta.', 'He made a few innuendos about how the plan might fail.', 'sexually suggestive remarks.'"
glum,"'miserable, triste, abatido, taciturno.', 'Despite the sunny weather, the children looked glum.'"
everyman,"'ordinary person, hombre cualquiera.'"
enmity,"'hostility, enemistad.', 'Greg holds no enmity towards his former enemies.'"
tat,"'baratija, cheap and of low quality.', 'This gift shop mostly sells plastic tat.'"
penny dropped,"'caer en la cuenta', '', 'Amanda was confused at first, but then the penny dropped and she knew what to do.', ''"
defuse,"'remove fuse from: a bomb. desactivar.', 'The bomb squad successfully defused the explosive.', 'fig, apaciguar, distender, calmar.'"
droop,"'hang limply, pender, colgar, caer.', ""Lizzy's curls drooped and clung to her neck in the hot weather."", 'sagging shape.', 'The bridge had a droop in the middle.', 'fig, be exhausted, desfallecer, decaer.'"
deaden,"'make dull, mitigar, atenuar, amortiguar.'"
hubris,"'arrogance, soberbia, arrogancia, orgullo desmedido.', 'He thought he was above the law and was ultimately punished for hishubris.'"
debauchery,"'sinful indulgence, libertinaje, disipación.'"
bungee,"'elastic cord, cuerda elástica.', 'go bungee jumping, hacer puenting.'"
behest,"'mandato, orden.', ""It was the king's behest that the traitors be executed without trial."""
bristle,"'brush: stiff filament, cerda, púa.', 'A short stiff hair.'"
cor,"'expressing surprise, ¡leches!, ¡caramba!'"
chamomile,"'manzanilla.', 'chamomile tea.'"
airtight,"'completely sealed, hermético.', 'The samples should be stored in an airtight container.'"
swivel,"'turn on pivot, girar, rotar.', 'a swivel chair.'"
splurge,"'spend money lavishly, derrochar, despilfarrar. Spend on sth that you do not really need.'"
slop,"'splash out, spill, derramarse, volcarse.', 'Water slopped out of the bucket while I was mopping.', 'bazofia, porquería, unappetizing runny food.', 'Are we supposed to eat this slop with a spoon or a fork?'"
rendition,"'ejecución, interpretación.', 'Her rendition of the old song was original and refreshing.', 'transliteration, traducción.', 'render: traducir, volver a.', ""Jane's tattoo is the Japanese rendition of her name."""
pillowcase,"'fabric covering a pillow, funda de almohada.'"
overbearing,"'person: controlling, dominante, controlador, autoritario.', 'She learned how to be so overbearing from her father.'"
morsel,"'piece of food, bocado, trozo.'"
livid,"'furious, very angry.', 'bluish-purple in colour.', 'My mother was livid when she found out that I had lied about my whereabouts.', ""The man's face turned livid with rage when he yelled at his children."", 'A livid bruise.'"
insurmountable,"'that cannot be overcome, insuperable, infranqueable, insalvable.', 'Some obstacles are just insurmountable.'"
inkling,"'slight idea, noción, indicio.', 'Do you have any inkling of what will happen next?'"
heyday,"'prime, greatest time, apogeo, auge.', 'Inits heyday, this theatre was packed every night.'"
hefty,"'objets: heavy. person: heavily built, robusto.', 'The worker lifted the hefty box into the truck.', 'The hefty boxer was an intimidating person to meet.'"
haggle,"'bargain, regatear.', 'My aunt always goes to the market for her shopping rather than big chain stores as she loves to haggle.'"
waxing lyrical,"'speak enthusiastically about sth.', 'You hear the waxing lyrical about...'"
gauze,"'gasa, thin fabric as bandage.', 'Fred wrapped the gash with gauze.'"
gash,"'deep cut, tajo.'"
rogue,"'solitario.', 'It may have been a rogue meteor el which means experts had not predicted it.', 'Rogue rocket plants (rúcula) kept cropping up all over the vegetable patch'"
untoward,"'inappropiate', 'It was concluded there was nothinguntowardin his death.', 'Nothing untoward, says Suells Braveman over speeding fine.'"
flurry,"'ajetreo, frenesí, flurry of activity.', 'There was a flurry of activity in the office when the boss arrived.', 'flurry of sth: oleada, ráfaga.'"
nibble,"'small bite, mordisquito.'"
dun,"'grayish-brown in colour, pardo.'"
eggplant,"'us, berenjena, uk: aubergine.h'"
dyke,"'dam, dique, presa.', 'ditch, acrquia, zanja.', 'lesbiana, tortillera.'"
downtrodden,"'flattened underfoot, pisoteado.', 'oprimido, esclavizado.', 'The downtrodden workers decided to go on strike.'"
disgruntled,"'dissatisfied, grumpy, contrariado, descontento, insatisfecho.'"
disband,"'(grupo musical) disolver, break up, split, (grupo criminal) desarticular, desmantelar.'"
dank,"'damp, cold and unpleasant.', 'A dark dank cave.'"
congeal,"'to become thick or solid, solidificarse, cuajarse, coagularse.'"
chit,"'pagaré, vale, recibo.'"
breech,"'rear, nalgas, culata.', 'breech birth: parto de nalgas.'"
bramble,"'zarza, fruit: blackberry.', 'A wild bush with thorns on which blackberries grow.'"
bashful,"'shy, tímido.'"
attrition,"'atrición, arrepentimiento.', 'Lent is a time during which we reflect on attrition.', 'friction, rubbing away, abrasión, erosión, desgaste.', 'The rocks lose mass each year because of attrition.', 'Índice de abandono, deserción.', 'The introductory physics class has a high attrition rate because the professor is very difficult.'"
wherewithal,"'necessary means, recursos, medios.', ""The team didn't have the wherewithal in terms of talent, temperament, and tactics to win the game."""
vixen,"'female fox, zorra.', 'The vixen stays with the pups while the fox hunts.', 'spiteful woman, zorra, arpía, víbora.', 'That vixen would destroy you if you tried to take her man.'"
untimely,"'premature, badly timed.', 'The untimely arrival of the winter monsoon destroyed the crops.', ""Jane's untimely comment during the meeting upset a lot of people."""
tracksuit,'chándal'
sizeable,"'uk, grande, cuantioso, considerable.', ""Asizeable part of the settlement went to the victim's family."""
shenanigans,"'mischievous activity, travesuras, diabluras.', ""You boys behave; I don't want any of your shenanigans at the restaurant."""
taunt,"'tease, mock, burlarse de, mofarse de.', ""The little boy's classmates taunted him when he started wearing glasses."""
scaffolding,"'andamios.', 'The house was being renovated and was surrounded by scaffolding.'"
peeve,"'fastidiar, molestar.', ""My biggest peeve is when people don't wash their dishes."", 'It really peeves me when you bite your nails.', ""Why's the pope peeved about pets?"""
scrumptious,"'delicious, delicioso, exquisito, riquísimo.', 'The guests all enjoyed the scrumptious cakes.'"
pushover,"'easy task, pan comido, estar chupado. A piece of cake.', 'weak, pusilánime, pelele.', ""Don't worry; this test is going to be a pushover."", ""Say no to your child; don't be a pushover."""
outlandish,"'person: eccentric, excéntrico, estrafalario, extravagante.', 'My outlandish uncle wears shoes to bed.'"
nether,"'lower, bajo, inferior.', 'The nether region of the country was plagued by famine.', 'Netherlands.'"
misconstrue,"'malinterpretar, interpret incorrectly, misunderstand.', ""Please don't misconstrue my words."""
leaflet,"'brochure, folleto.', 'The club distributed leaflets at the university.'"
grime,"'mugre, suciedad', 'Harriet spent the day tidying up her apartment and wiping the grime off of all surfaces.', '', 'grimy: mugriento, sucio.'"
glider,"'aircraft without motor, planeador.', 'hang glider: ala delta.'"
gibberish,"'nonsense, words with no meaning or impossible to understand.', 'He was talking in his sleep but it was just gibberish.'"
honky,"'white person, peyorativo: blancucho.'"
faggot,"'uk, meatball, albóndiga.', ""Tim's mom made faggots and mashed potatoes for dinner."", 'us offensive: maricón.'"
stallion,"'stud, male horse, semental.', 'Released stallions described as horny (cachondo, sexually aroused) teenagers, very frisky.'"
tirade,"'verbal outburst ahainst sb, diatriba, invectiva.', 'Mr Speaker met her tone with a tirade.'"
dogged,"'stubborn, showing determination, terco, testarudo, obstinado, persistente, tenaz, perseverante.'"
derision,"'mockery, ridicule, mofa, burla, escarnio.', 'People who believe the earth is flat face derision on a daily basis.'"
ashen,"'pálido, lívido, cenicient'"
brandish,"'wield: a weapon. Blandir.', 'display, show off, lucir, presumir, alardear.'"
fib,"'small lie, mentirijilla, mentira piadosa.', ""You shouldn't tell a fib, no matter how small it is."""
crossbow,'ballesta.'
carat,"'quilate.', 'How many carats is this gold?', 'If John believes that, he is a 24-carat (auténtico) idiot.'"
trickster,"'embaucador, timador, estafador, conman, crook.'"
talon,"""bird's sharp claw, garra."", ""Be careful to avoid the chicken's talons when you pick her up."""
kitty,"'gatito.', 'bote, fondo común.', 'Everyone had to donate twenty dollars to the kitty.'"
stingy,"'tacaño, agarrado, rácano.', 'Carl is so stingy; he never puts any money into the kitty (pool of money, bote, fondo).', 'Not generous, miserable.', 'Wendy was incredibly hungry, so she was disappointed when she saw the stingy portion of cake the cafe served her.'"
squire,"'uk, landowner, hacendado.', 'The local squires organize a fox hunt every year.', '', 'escudero.'"
scald,"'escaldar, burn with hot liquid.', ""The boiling water splashed and scalded Mara's hand."""
prospective,"'futuro, posible, potencial.', 'Muriel and Patricia got together to discuss their prospective trip to Thailand.'"
outback,"'Outback\xa0 is often used to describe remote, rural areas of Australia that are far away from cities and towns.', '', 'It is typically associated with vast, open landscapes, dry climates, and a unique culture of people who live and work in these areas.', '', 'The term can also be used more broadly to refer to any remote or wild area, particularly in Australia or other countries with similar environments.', '', 'If you hear someone talking about the\xa0 outback , they are likely referring to a specific area of rural Australia, or to any remote and\xa0 rugged\xa0 place.'"
nozzle,'boquilla.'
notwithstanding,"'despite, pese a', ""Notwithstanding the new health care law, Peter didn't buy insurance because he didn't think he would get sick."""
maw,"""animal's mouth, fauces"""
headstone,"'memorial slab on a grave, lápida mortuoria, piedra sepulcral.', 'Some vandals broke several headstones in the cemetery.'"
frisky,"'playful, energetic, juguetón, dinámico, vivaracho, retozón.', 'The frisky kitten pounced on the ball of yarn.', ''"
fanfare,"'trumpet announcement, fanfarria, showiness, fuss.', 'The new president was greeted with fanfare at his first official speech.'"
drawl,"'hablar arrastrando las palabras.', '""We don\'t see many city folks around here,"" the old man drawled.'"
disavow,"'abandonar, renegar, rechazar.', 'Ian eventually disavowed his racist beliefs.'"
crayfish,"'fresh water crustacean, cangrejo de río.'"
concoction,"'inventive mixture, brebaje, mejunje.', 'At the party they served a concoction of wine, soda, and juice that actually tasted pretty good!'"
cavalier,"'unconcerned, despreocupado, desenfadado, displicente.', 'Cory had an unexpectedly cavalier attitude toward his business troubles.'"
blubber,"'grasa de ballena.', 'Imust take more exercise and get rid of some of this blubber!', 'llorar a moco tendido, a lágrima viva.', 'When the lady asked him if he was lost, the boy started blubbering.'"
alimony,"'law: marital allowance. pensión alimenticia, pensión conyugal.', 'He has to pay his ex-wife alimony for the next ten years.'"
wildebeest,"'ñu, South African antelope.'"
varsity,'equipo universitario.'
unrequited,"'not mutual, not reciprocated, no correspondido.', ""The poem is about the poet's unrequited love for a married woman."""
trapdoor,"'trampilla, opening in floor or ceiling.'"
teeter,"'wobble, balancearse, titubear, vacilar.', 'The two-year-old girl stood up, teetering as she attempted to walk.'"
recant,"'retractar, desdecir, revocar.', 'After ten years, the leading witness recanted her testimony.'"
pesky,"'inform., troublesome, molesto, incómodo.', 'These pesky insects are ruining our picnic.'"
"moldy, mouldy","'mohoso.', '❝\xa0 Moldy\xa0 bread/cheese.', '❝ Strawberries go\xa0 moldy\xa0 very quickly.'"
lattice,"'crisscross framework, entramado.'"
hither,"'aquí.', 'hither and thither: de aquí para allá.'"
leeway,"'margen.', 'That gives us only five minutes leeway to get to the airport.', 'margen de maniobra.', 'We have a lot of leeway in how we design the classrooms.', '', 'lee: sotavento, sheltered side.'"
worse off,"'peor, poorer.', 'Most people are worse off now than they were before the stock market crashed.'"
ensnare,"'trap, entrap, atrapar, entrampar.', ""Josh became ensnared in his co-worker's lies and was fired."""
jibe,"'mocking taunt (burla), chiste, mofa, pulla.', ""Iknow you think you're funny, but your jibes are really hurtful."""
grandiose,"'pompous, excessively grand, ostentoso, grandilocuente.'"
dorky,"'stupid, clumsy.', ""Where's your dorky little brother today?"""
awash,"'flooded, inundado.', 'Repleto, lleno.'"
wholesale,'al por mayor'
warlock,"'wizard, sorcerer, brujo, hechicero.', 'The warlock put a spell on the princess.'"
vogue,"'moda, boga.', 'The vogue for tattoos looks set to continue.'"
switchblade,"'retractable pocket knife, navaja automática.'"
shakedown,"'extortion, extorsión, chantaje.', 'búsqueda exhaustiva.', ""During the shakedown, the police found an improvised knife in the prisoner's cell."", 'vuelo, travesía de prueba.', ""The ship's shakedown went smoothly and very few adjustments were necessary."""
rabies,"'disease rabia.', 'A wild dog in the area is thought to have rabies.'"
puffin,"'sea bird, frailecillo.', 'A puffin swooped down and stole a French fry.'"
prognosis,"'prediction, outlook, prognosis, pronóstico, diagnóstico.'"
platitude,"'clichéd remark, tópico, lugar común.', ""The politician's speech was filled with platitudes and offered nothing unique."""
mishap,"'minor accident, percance, contratiempo.', 'I had a little mishap with the new lawnmower.'"
impound,"'retener, incautar, confiscar.', 'The car wasimpoundedby the police after the accident.'"
pound,"'libra/ libra esterlina.', 'beat hard, palpitar.', 'hit hard, golpear con fuerza.', 'enclosure for stray dogs, perrera.', 'enclosure for vehicles, depósito de vehículos.', 'Neil was parked illegally, so his car was taken to the pound.'"
gratuitous,"'unnecessary, arbitrario, gratuito.', 'That film contains a lot of gratuitous violence.'"
dainty,"'delicate, delicado, refinado.', 'diminuto, minúsculo.', 'fussy, choosy, remilgado.'"
crawl,"'insect: creep. Trepar, reptar.', 'Betty watched the spider crawling on the wall.', 'gatear', 'The baby crawled across the floor.', '', 'crawler: obsequious person, adulador, lameculos.', ""Fred's a crawler. He's always trying to gain favour with the boss."""
chuffed,"'uk, pleased, contento, complacido, satisfecho.'"
canvass,"'solicit opinions or vote, hacer campaña.', 'The salesmen canvassed throughout the neighborhood to gauge interest in new Internet services.', 'sondear, encuestar.', 'We need to canvass a broader sample of the population to get a more accurate result.', 'canvas: lienzo, lona.'"
chipper,"'informal, cheerful, animado, alegre.'"
canister,"'can, lata, bote.', 'A container with a lid (= cover) for holding tea, coffee, etc.'"
breakaway,"'Having separated from a larger group or country.', 'Abreakawayfaction/group/section.'"
allotment,"'uk, rented garden plot, parcela, huerto.', 'Sandy is growing beans and cabbage on her allotment.'"
backwoods,"'quinto pino, lugar remoto, rústico, alejado'"
squawk,"'graznar, chillar'"
squalor,"'filth, suciedad, mugre.', 'miseria.', 'A beautiful garden amid thesqualorof the slums.'"
break even,"'not make profit or loss.', ""At the rate we're going, we'll be lucky to break even at year's end."""
scowl,"'angry frown, ceño fruncido.', 'I saw the scowl on her face and left immediately.'"
loiter,"'hang around, holgazanear, merodear, perder el tiempo', 'Kamikaze drones loiter above a target before attacking.'"
splatter,"'liquid: splash, spatter, salpicar, manchar', 'I dropped the can and paint splattered everywhere.', '', 'splatter=spatter'"
quail,"'codorniz.', 'Estremecerse, temblar de miedo.', 'partridge: perdiz.'"
mantelpiece,"'ledge over a fireplace, repisa sobre la chimenea.'"
leer,"'look lustfully, mirar lascivamente.', ""The teenage boys leered at the girls' volleyball team."""
sloppy,"'work: badly done, descuidado, chapucero.'"
with no frills,"'sin florituras. Frill: volantes (ropa).', 'This is just the vanilla kind of model, with no frills.'"
gaunt,"'demacrado, flaco, delgado.'"
elicit,"'prompt interest, reaction, a smile, sacar, provocar, desencadenar.', 'Two hours of questioning failed to elicit a response from the suspect.'"
deluge,"'diluvio, flood, inundación, aluvión.', 'When the Deluge came, Noah summoned the animals to his ark.'"
burgundy,"'Borgoña/ reddish-purple colour, color borgoña, color burdeos.'"
baloney,"'us, slang, nonsense, tontarías, chorradas.', ""Don't give me thatbaloney!"""
gutter,"'alcantarilla, canalón.', 'fig, grosero, vulgar, guarro.', 'gutter politics.'"
wench,"'moza, criada, muchacha, sirvienta.'"
weave,'tejer'
upholstery,"'tapicería', 'The upholstery on the couch is getting very worn.'"
twang,"'vibrate loudly. Gangueo.', 'He plucked the guitar string and made it twang loudly.', 'Holly speaks with a distinctive twang.', 'Her voice had a faint American or Canadiantwang.'"
cyst,"'quiste,medicine: abnormal growth.', ""The doctors found a cyst in Jasmine's ovary."""
chaperone,"'carabina, acompañante adulto.', 'Back then, young women could not meet their beaus without a chaperone.', 'My dad will chaperone us on this trip.', ''"
tinsel,"'sparkly Christmas decoration.', 'Ken decorated the Christmas tree with ornaments and tinsel.'"
steamy,"'empañado, lleno de vapor, húmedo.', 'fig. erotic, sexy, erótico, caliente.', 'Jackie enjoys reading steamy novels.'"
squabble,"'quarrel, argue, pelear, reñir', 'To argue noisily about something that is not very important.', 'My sisters weresquabblingover what to watch on TV.', 'The party is split by internalsquabbles.'"
spurn,"'reject, desdeñar, rechazar.', ""Kate spurned Dan's romantic propositions."", 'To reject or refuse somebody/something, especially in a proud way.'"
untapped,"'sin usar, sin explotar', 'Wave energy is still a largely untapped resource.', '', 'tap into: aprovechar, sacar provecho.'"
scurvy,"'escorbuto', 'Sailors in the 19th century often developed scurvy.'"
potter,"'sb who makes pottery, alfarero', 'busy yourself with small things, pasar el rato, mata el tiempo', 'After a long busy period, it was lovely to spend a day just pottering.', 'potter around, about: entretenerse, holgazanear'"
pinch of salt,"'""coger con pinzas"",\xa0 dudar de la veracidad.', 'All predictions should be taken with a very large pinch of salt'"
ointment,"'pomada, ungüento.'"
misgiving,"'feeling of doubt, dudas, recelo.', 'Debby had misgivings about her upcoming wedding.'"
lob,"'lanzar lgo por lo alto, describiéndo un arco, hacer un globo (tenis)'"
hemp,"'plant: cannabis, marihuana, hachís.'"
grovel,"'be servile, humillarse, arrastrarse, rebajarse.', ""I don't want to grovel to the boss, but I want our plan to be approved, so I might have to do it."", 'postrarse', 'The peasant groveled before the king and begged to be set free.'"
glean,"'discover slowly, deducir, averiguar', 'We eventually gleaned that he had never been to Baghdad.', 'gather bit by bit, recoger, cosechar', 'Glean as much advice from her as you can.'"
giveaway,"'sth given for free, obsequio, regalo.', 'The coffee shop is doing a holiday giveaway, and all customers will receive a free hot chocolate.', 'sth revealing the truth, señal reveladora, chivato', ""You've eaten my chocolate! That smear on your chin's a dead giveaway!"", ""She pretended she wasn't excited but the expression on her face was a dead (= obvious)giveaway."""
garner,"'earn, gather, conseguir, obtener, ganar', 'She garnered praise from all her colleagues for working so hard.', 'garner respect', 'garner support', 'garner attention', 'garner praise', 'garner admiration'"
cougar,"'puma', 'woman with much younger male partner.', 'asaltacunas', 'Karen often gets called a cougar because her partner is much younger than her.'"
clatter,"'rattle loudly, repiquetear, retumbar', 'The gate clattered in the wind all night and kept me awake.'"
toke,"'drag on a marijuana cigarette, calada', 'Alright, one more toke and then I have to head home.'"
shoal,"'group of fish, banco de peces'"
sheath,"'cover for sword, knife, vaina, funda', 'The hunter cleaned his knife and put it back in its sheath.', 'Any layer that covers and fits closely over something for protection.', 'Thesheatharound an electric cable.', 'uk: condom', 'Henry uses sheaths as contraception.'"
rouge,"'cosmetics: blusher. Colorete.', 'Makeup application is not complete until you apply the rouge.'"
rind,"'food: outer covering. piel, corteza queso, pan...)', ""Please don't put orange rinds in the compost."", '', ''"
magpie,"'urraca', 'I am woken up everyday by the incessant racket of magpies.'"
lasso,"'looped rope for catching animals, lazo', 'The cowboy used a lasso to catch the wild horse.'"
over a barrel,"'to have sb over a barrel: tenerlo entre la espada y la pared.', 'We had far more to lose in the negotiations than the other side, so they had us over a barrel.'"
instalment,"'payment: division. Cuota, plazo.'"
guile,"'cleverness, cunning, astucia, estratagema.', 'The use of clever but dishonest behaviour in order to trick people. malicia', '', ''"
groin,"'ingle, entrepierna'"
eggnog,'ponche de huevo'
drake,'a male duck'
crowbar,"'steel bar for levering, palanqueta.', 'Introducir algo por la fuerza.', 'The term ""crowbar"" has come to mean more than the original tool, and generally means any reasonable means of force used to solve a problem.'"
convene,"'call: a meeting. Convocar. Summon: a group of people.', 'The president convened a meeting of the members of the board.', 'It is critical that we convene regularly to maximize the potential of our team.'"
legwork,"'Effort involved in investigating, trabajo preliminar, preparativos.', 'The desired workflow is one that has ChatGPT doing much of the legwork.'"
acumen,"'sharp judgement, perspicacia, agudeza, visión', 'Excellent business acumen!'"
beholden,"'indebted, en deuda', 'John felt beholden for everything his boss had done to help his career.'"
bedding,"'sheets, bed linen, ropa de cama'"
affidavit,"'declaración jurada', 'An affidavit is a sworn legal document in which an individual declares the veracity of their statement under the penalty of perjury.'"
wraith,"'ghost, spirit, espectro, fantasma.', 'A wraith haunted the house.'"
barrow,"'pushcart, mobile market stall.', 'Joe pushed his barrow wearily up the hill to the market place.', '', 'wheelbarrow: carretilla'"
waft,"'float on the air', 'A delicious cooking smell wafted invitingly from the kitchen.', 'To move, or make something move, gently through the air.'"
unbeknown,"'sin ella/yo.. saberlo', 'Unbeknownto her they had organized a surprise party.', 'Unbeknown to me: sin yo saberlo.'"
treacle,"'molasses, melaza'"
tinkle,"'tintineo, campanilleo', 'The tinkle of bells can be heard all over the city in the weeks before Christmas.', '', '', '', 'uk, mear', 'John went behind the tree for a tinkle.', 'Why are you squirming (retorciendo)? Do you need to tinkle?'"
pail,"'us, bucket, cubo, balde', 'There was a pail to catch the drips from the ceiling.', 'Education is not the filling of a pail, but the lighting of a fire.'"
spangle,"'sequin, lentejuela', ""The dancers' costumes were covered with spangles and feathers."", '', '', ''"
seedy,"'sleazy, sórdido, de mala fama, de mala muerte', ""You shouldn't go to that neighborhood because it's seedy."", 'Dirty and unpleasant, possibly connected with immoral or illegal activities.', 'A seedy-looking man.', 'Theseedyworld of prostitution'"
ruddy,"'reddish, rubicundo, rojizo, colorado,Looking red and healthy', 'Her cheeks turned a ruddy color at the mention of her name.'"
prime,"'supremo, primordial / plenitud de la vida / número primo', ""Don't let anybody tell you you are past your prime."""
gong,"'gong / uk, informal: award, medal, medalla', 'The film won seven of the eleven awards, including three acting gongs.', ''"
rend,"'fabric: tear, rip, rasgar, desgarrar', 'She rent his clothes to shreds when she found out.', 'The delicate fabric rends easily.'"
pendant,"'hanging, suspended / jewellery,A piece of jewellery that you wear around your neck on a chain.', 'colgante', 'Pam is wearing a lovely silver pendant.', '', 'necklace: collar.'"
godsend,"'regalo del cielo', 'This new benefit has come as agodsendfor low-income families.'"
gnarly,"'knot in wood, twist, deform', 'gnarly: difficult, dangerous, retorcido, enmarañado.'"
glitz,"'glamour, showiness, ostentación, pompa', 'This restaurant has a little too much glitz for me.', 'Europe’s glitziest (ostentoso, deslumbrante) celebration of pop music, the Eurovision Song Contest.'"
glade,"'clearing in forest, claro, calvero', 'We came to a glade full of grass and wildflowers.'"
frolic,"'be playful, juguetear, brincar, retozar', 'The playful kittens frolicked together in the sun.', 'Childrenfrolickingon the beach.'"
embroil,"'enredar, enmarañar', ""The mayor's views have embroiled him in an ethics scandal."", 'Gary Lineker was embroiled in a row over...'"
odd,"'uneven number / strange, unusual / occasional', 'He survives doing odd jobs like gardening or cleaning.'"
bemoan,"'complain about, regret', ""Instead of bemoaning what's wrong in your life, you should be grateful for what you've got."""
ethos,"'belief system', 'The ethos of many western cultures values individualism.'"
enfold,"'envelop, envolver, rodear, abrazar', 'The group disappeared from view as the evening mist enfolded them.', 'The mother enfolded her young daughter in her arms.'"
embroider,'bordar'
duress,"'being forced, coerción, coacción.', 'The woman now says that she confessed to the crime under duress.'"
bonny,"'boni pretty, attractive', '', 'bony bouni flaco, huesudo, emaciated'"
clink,"'tintinear', 'The silverware clinked when I closed the drawer.', ""Theyclinkedglasses and drank to each other's health."""
bedrock,"'solid foundation, cimientos, fundamento, base.', ""My wife and children are the bedrock of my life; I don't know what I would do without them."", 'Honesty is thebedrockof any healthy relationship.'"
airlock,"'compartimento estanco, cámara de descompresión'"
suave,"'smooth, charming, agradable, cortés, agradable', ""Everyone says he's as suave in person as he is on screen."", 'Confident, elegant and polite, sometimes in a way that does not seem sincere.'"
snog,"'Uk infor: besuquearse, kiss passionately.', 'Snog and heavy petting.', 'petting: stroking an animal.', 'Arrumacos, cariños, mimos.'"
slither,"'snake: slide along, culebrear, reptar, escurrirse por el suelo.'"
skylight,"'claraboya, tragaluz, window in ceiling.'"
sieve,"'colador, tamiz', 'The gold hunter used a sieve to strain the contents of the river bed.', 'The wise ones fashioned speech with their thought, sifting it as grain is sifted through asieve.'"
spelunking,'Espeleología.'
shag,"'alfombra de pelo largo', '', 'shaggy: long and untidy, desgreñado, peludo, greñudo.', ""Harriet brushed the dog's shaggy coat."""
romp,"'energetic playing', 'The two tiger cubs engaged in a romp in order to learn how to hunt.', '(fig) The couple had a little romp in the car.'"
plywood,"'madera contrachapada', 'Board made by sticking thin layers of wood on top of each other.'"
loafer,"'mocasín', 'idle person, vago, holgazán, haragán', 'My husband, the loafer, does nothing but watch television.'"
runaway,"'child: has run away from home.', 'Runaway teenagers are often trying to escape problems at home.', 'train, etc: out of control, desbocado, desenfrenado.', '', 'runway: (airport) pista, (fashion) pasarela.'"
hurtle,"'rush forward, lanzarse, precipitarse, ir a toda velocidad', 'The runaway car came hurtling towards us.'"
eyeball,"'medir a ojo', 'The inspector eyeballed the room and guessed it to be twenty feet in length.', 'Eyeballing it, it appears as though the mean of the 2012 data set might be slightly higher.'"
fringe,"'flequillo', 'not mainstream, in the suburbs', 'A fringe theory, the one that says covid originated in a lab.'"
lent,"'Cuaresma, Christian season of fasting.'"
grunge,'dirt of any kind / music style'
gooey,"'pegajoso, empalagoso', 'fig, overly sentimental', ""I don't enjoy reading this kind of gooey romance novel."""
garland,"'festive wreath, guirnalda.', 'A circle of flowers and leaves that is worn on the head or around the neck or is hung in a room as decoration.'"
crikey,"'expressing amazement, ¡caramba!, ¡vaya!', ""Crikey! Where'd you get that car?"""
beset,"'afflict, asolar, atacar.', 'I have lots of problems beseting me.', 'The team wasbesetby injury all season.', 'Crime has beset the inner city for many years.', ""Joan was suddenly beset by doubts as to her brother's motives."", 'estar rodeado, estar cercado', 'The farmhouse is beset by a dense forest'"
barnacle,'percebe'
wick,"'thread that is lit on a candle, mecha, pabilo.', 'Robert lit the wick of the candle.'"
whimsical,"'caprichoso / fanciful, extravagante'"
trappings,"'ornaments, features', 'Thetrappingsof fame/power/success.', 'They enjoyed all thetrappingsof wealth.'"
sludge,"'thick substance, lodo, fango, barro.', 'The snow melted, turning the soil into sludge.'"
skit,"'written comedy piece', 'The comedy skit featured men dressed as bears.'"
grapevine,"'vid, parra', 'rumours, gossip', 'According to the grapevine, Don is leaving his wife.'"
mint,"'menta // acuñar', 'impecable, looking as good as new', 'The car was mint, with not a scratch on it.'"
sleuth,"'detective, sabueso', 'prompted dozens of amateur social media sleuths to travel to the village to look into the case themselves.'"
garnish,"'(food) guarnición, decoración', 'Brian garnished the cod fillet with a sprig (ramita) of parsley.'"
encroach,"'invadir, infringir, traspasar', ""Our next door neighbour's ivy is encroaching but he refuses to cut it back."", 'Their oak tree has begun to encroach on my property.', 'He never allows work toencroachupon his family life.', 'The growing town soonencroachedon the surrounding countryside.'"
dud,"'defectuoso, una porquería, inservible', 'A thing that has no use, especially because it does not work correctly.', 'Two of the fireworks in the box wereduds.'"
