Google Translate,Helsinki-NLP,OpenAI GPT
"In the rainbow, who can draw the line where the violet hue ends and the orange begins? We clearly see the difference in colors, but exactly where does one begin to mix with the other? The same goes for sanity and madness.","In the rainbow who can draw the line in which the violet hue ends and the orange begins? We see clearly the difference of colors, but exactly where does one begin to mix with the other? The same is true of sanity and madness.","Who can draw the line in the rainbow where the violet hue ends and the orange one begins? We clearly see the difference in colors, but exactly where does one start to blend with the other? The same happens with sanity and madness."
"After many waterfalls the water rushes noisily into the valley. I take a deep breath and for some reason I think of Maria, who is always launching into a new adventure. I know she feels unbridled excitement at being free. That's why she doesn't want to join me.","After many waterfalls the water is thrown loudly into the valley. I breathe deeply and for some reason I think of Mary, who always throws herself into a new adventure. I know that she feels an unbridled emotion as she is free. That’s why she doesn’t want to join me.","After many waterfalls, the water loudly plunges into the valley. I take a deep breath and for some reason I think of Maria, who always embarks on a new adventure. I know she feels an unbridled excitement when she is free. That's why she doesn't want to join me."
"I would rather stay shut up in a modest cabin with my books, my family, and a few old friends, eating only bacon and letting the world go on as it pleased, than occupy the most splendid position that any human power can give.","I preferred to stay locked in a modest cabin with my books, my family and a few old friends, eating only bacon and letting the world go as I wanted, than to take the most splendid position any human power can give.","I would rather stay locked in a modest cabin with my books, my family, and a few old friends, eating only bacon and letting the world move forward as it pleases, than to occupy the most splendid position that any human power can offer."
"The United States is the country that illuminates the world with its ideals of freedom. Political assassinations, military coups, invasions, bombings and torture are all carried out by the United States, in order to make the world a better place.","The United States is the country that illuminates the world with its ideals of freedom. Political assassinations, military coups, invasions, bombings and torture are all carried out by the United States, in order to make the world a better place.","The United States is the country that enlightens the world with its ideals of freedom. Political assassinations, military coups, invasions, bombings, and torture are all carried out by the United States, in order to make the world a better place."
"Haumea has a rotation period of approximately 4 hours, faster than any other known body with a diameter greater than 100 km. Scientists believe this rapid rotation was caused by a long-ago collision that also created its moons.","Haumea has a rotation period of approximately 4 hours, faster than any other known body with a diameter greater than 100 km. Scientists believe that this rapid rotation caused a collision long ago that also created their moons.","Haumea has a rotation period of approximately 4 hours, faster than any other known body with a diameter greater than 100 km. Scientists believe that this rapid rotation was caused by a collision long ago that also created its moons."
"To my chief strategist, David Axelrod, who was my partner every step of the way. To the best campaign team assembled in the history of politics! You made this happen, and I am eternally grateful for what you sacrificed to make it happen.","To my chief strategist, David Axelrod, who was my partner every step of the way. To the best campaign team gathered in the history of politics! You made this a reality, and I am eternally grateful for what you sacrificed to achieve.","To my chief strategist, David Axelrod, who was my partner every step of the way. To the best campaign team ever assembled in the history of politics! You made this happen, and I am eternally grateful to you for what you sacrificed to achieve it."
"But life is sad and solemn. They leave us in a wonderful world, we meet here, we introduce ourselves, and we go together for a while. Then we lose each other and disappear just as suddenly and inexplicable as when we came.","But life is sad and solemn. They leave us in a wonderful world, we meet here, we introduce ourselves, and we go together for a while. Then we lose each other and disappear in a way just as sudden and inexplicable as when we came.","But life is sad and solemn. They leave us in a wonderful world, we meet here, we introduce ourselves, and we go together for a while. Then we lose each other and disappear in a way just as sudden and inexplicable as when we came."
"I am the Flying Spaghetti Monster. You will not worship other monsters before Me. (Afterwards it's okay, just use protection). The only monster that deserves to be capitalized is Me! The other monsters are false monsters, which do not deserve to be capitalized.","I am the Flying Spaghetti Monster. You will not worship other monsters before Me. (Then it’s okay, just use protection). The only monster that deserves capitalization is Me! The other monsters are fake monsters, they don’t deserve to go capitalized.","I am the Flying Spaghetti Monster. You shall not worship other monsters before Me. (Afterwards is fine, just use protection). The only monster deserving of capitalization is Me! The other monsters are false monsters, unworthy of capitalization."
"That coward is home after breaking up with a girl I've never heard of and he's pretending to be thinking of a way to make peace with this other girl he really loves and, frankly, I wonder if any of these women really exist.","That coward is at home after breaking up with a girl I've never heard of and pretends to be thinking about a way to make peace with this other girl he really loves and, frankly, I wonder if any of these women really exist.","That coward is at home after breaking up with a girl I've never heard of and pretends to be thinking of a way to make amends with this other girl he truly loves, and frankly, I wonder if any of these women really exist."
"There was a time when Christopher Columbus challenged another explorer to a duel. The last one, a dishonest guy, did not take ten steps as the rules dictate, but two; then he turned to shoot. Unfortunately for him, Columbus had not taken a single step.","Once upon a time Christopher Columbus challenged a duel to another explorer. The last, an unhonored guy, did not take ten steps as the rules set, but two; then he turned to shoot. Unfortunately for him, Columbus had not taken a single step.","There was a time when Christopher Columbus challenged another explorer to a duel. The latter, a dishonorable fellow, did not take ten steps as the rules dictate, but two; then he turned to shoot. Unfortunately for him, Columbus had not taken a single step."
"Our land, our land, our homeland, loud sound, or name of worth! No mountain that touches the fringe of the sky, no hidden valley, no washed and trapped lock, is loved, like our native North; It is loved, like our native North.","Our land, our land, our homeland, high sound, or name of worth! No mountain that touches the strip of heaven, no hidden valley, no wick washed and caught, is loved, as our native North; it is loved, as our native North.","Our land, our land, our homeland, loud sound, oh name of worth! No mountain touching the edge of the sky, no hidden valley, no washed and trapped lock of hair, is loved, like our native North; is loved, like our native North."
"The fathers of modern science - Copernicus, Galileo, Kepler, Newton, Boyle and many others - saw clear evidence of design in the universe and were, in fact, inspired to discover the laws of nature by their faith in a transcendent lawgiver. .","The parents of modern science - Copernicus, Galileo, Kepler, Newton, Boyle and many others - saw clear evidence of design in the universe and, in fact, were inspired to discover the laws of nature by their faith in a transcendent legislator.","The fathers of modern science - Copernicus, Galileo, Kepler, Newton, Boyle, and many others - saw clear evidence of design in the universe and, in fact, were inspired to discover the laws of nature by their faith in a transcendent legislator."
"In a rocket engine, fuel and a source of oxygen, called an oxidizer, are mixed and exploded in a combustion chamber. Combustion produces hot exhaust that is passed through a nozzle to accelerate the flow and produce thrust.","In the engine of a rocket, the fuel and an oxygen source, called an oxidant, are mixed and exploded in a combustion chamber. Combustion produces a hot exhaust that is passed through a nozzle to accelerate flow and produce thrust.","In a rocket engine, the fuel and a source of oxygen, called oxidizer, are mixed and ignited in a combustion chamber. The combustion produces a hot exhaust that is passed through a nozzle to accelerate the flow and generate thrust."
"About 50 percent of companies in Japan have recognized the need to give their workers longer vacations, and think that summer vacations are essential to give their workers both mental and physical relief.","About 50 percent of companies in Japan have recognized the need to give their workers longer vacations, and think that summer holidays are indispensable to give their workers both mental and physical relief.","Close to 50 percent of companies in Japan have recognized the need to give their employees longer vacations, and they believe that summer vacations are essential to provide their workers with both mental and physical relief."
"If anyone out there still doubts that America is a place where anything is possible; who still wonders if the dream of our founders is alive in our time; who still questions the power of our democracy, tonight is your answer.","If anyone out there still doubts that America is a place where everything is possible; that he still wonders if the dream of our founders is alive in our time; that he still questions the power of our democracy, tonight is your answer.","If anyone out there still doubts that America is a place where anything is possible; who still wonders if the dream of our founders is alive in our time; who still questions the power of our democracy, tonight is your answer."
"Many heretics, witches and atheists were burned on the stakes of the Inquisition. Today, the scientist who recklessly declares that he believes in supernatural intelligence will be discriminated against by his materialistic peers and persecuted in his professional career.","Many heretics, witches and atheists were burned in the stakes of the Inquisition. Today, the scientist who declares recklessly that he believes in supernatural intelligence will be discriminated against by his materialistic peers and persecuted in his professional career.","Many heretics, witches, and atheists were burned at the stakes of the Inquisition. Today, the scientist who imprudently declares belief in supernatural intelligence will be discriminated against by their materialist peers and persecuted in their professional career."
"And when the first Muslim-American was recently elected to Congress, he took an oath to defend our Constitution using the same Quran that one of our founding fathers - Thomas Jefferson - kept in his personal library.","And when the first Muslim-American was recently elected to Congress, he took the oath to defend our Constitution using the same Koran as one of our founding fathers - Thomas Jefferson - kept in his personal library.","And when the first Muslim-American was recently elected to Congress, he took the oath to defend our Constitution using the same Quran that one of our founding fathers - Thomas Jefferson - kept in his personal library."
"In the 21st century, things have not changed: our children are forced to learn English from the age of seven (many of them cannot even read in their own language), in a stupid attempt by the government to facilitate the interests of capitalism.","In the 21st century things did not change: our children are forced to learn English from the age of seven (many of them cannot read even in their own language), in a stupid attempt by the government to facilitate the interests of capitalism.","In the 21st century, things have not changed: our children are forced to learn English from the age of seven (many of them cannot even read in their own language), in a stupid attempt by the government to cater to the interests of capitalism."
"A spike is called the tactical movement by which two pieces that are on the same line (row, column or diagonal) are attacked simultaneously, so that the first, when moving, dodging the attack, allows the capture of the other.","A spike is called the tactical motion by which two pieces that are in the same line (row, column or diagonal) are attacked simultaneously, so that the first, when moving, avoiding the attack, allows the capture of the other.","A pin is the tactical move by which two pieces that are on the same line (row, column, or diagonal) are attacked simultaneously, so that the first piece, when moving to evade the attack, allows the capture of the other."
"Ancient civilizations claimed to have been founded on love or justice. Ours is founded on hate. In our world there will be no emotions beyond fear, anger, triumph, and humiliation. We will destroy everything else, everything.","The ancient civilizations claimed that they had been founded on love or justice. Ours is founded on hatred. In our world there will be no emotions beyond fear, anger, triumph, and humiliation. Everything else we will destroy, everything.","Ancient civilizations claimed to have been founded on love or justice. Ours is founded on hatred. In our world, there will be no emotions beyond fear, anger, triumph, and humiliation. Everything else we will destroy, everything."
"Human ingenuity now gives us the ability to feed the hungry and gives all of our children, including our girls, the education that is the foundation of opportunity in our world. But we must accompany words with actions.","Human ingenuity now gives us the ability to feed the hungry and gives all our children, including our girls, the education that is the basis of opportunity in our world. But we must accompany words with deeds.","Human ingenuity now gives us the ability to feed the hungry and provide all our children, including our girls, with the education that is the foundation of opportunities in our world. But we must back up our words with actions."
"The dawn of the morning discovered the little girl there, with pale cheeks and smiling mouth, leaning against the wall. She had frozen to death on the last night of the year; and the New Year's sun, she rose and shone upon her little corpse!","The morning dawn discovered there the little girl, with pale cheeks and smiling mouth, leaning against the wall. She had frozen herself to death on the last night of the year; and the New Year's sun, rose and shone upon the little corpse!","The dawn of the morning discovered the little one there, with pale cheeks and a smiling mouth, leaning against the wall. She had frozen to death on the last night of the year; and the New Year's sun was rising and shining upon the small corpse!"
"Based on the assumption that advanced life, a technologically capable civilization that sends communications, takes five billion years to form, the researchers calculated that there are about 36 advanced civilizations in the Milky Way.","Based on the assumption that advanced life, a technologically capable civilization that sends communications, takes five billion years to form, researchers estimated that there are about 36 advanced civilizations in the Milky Way.","Based on the assumption that advanced life, a technologically capable civilization that sends communications, takes five billion years to form, researchers calculated that there are about 36 advanced civilizations in the Milky Way."
"The white stone was placed at a point where it would have no freedom if the neighboring black stone was not removed. But with that move, White captured the black stone, which will have to be removed from the board. The move, therefore, was legal.","The white stone was placed at a point where it would not have freedom if the neighboring black stone was not removed. But with that movement, the white ones captured the black stone, which will have to be removed from the board. The movement, therefore, was legal.","The white stone was placed in a spot where it would not have freedom unless the neighboring black stone was removed. But with that move, the white stones captured the black stone, which will have to be removed from the board. The move, therefore, was legal."
"Strasbourg is also an ideal starting point for excursions along the Rhine and visiting castles nestled in the heart of vineyards, villages perched on mountain slopes between lakes and forests and other charming places.","Strasbourg is also an ideal starting point for hiking along the Rhine and visiting the châteaux snuggled in the heart of the vineyards, perched villages on the slopes of the mountains between lakes and forests and other charming places.","Strasbourg is also an ideal starting point for excursions along the Rhine and visiting castles nestled in the heart of vineyards, villages perched on mountain slopes between lakes and forests, and other charming places."
Globalization has gone crazy: why transport Spanish cucumbers to exterminate the Germans from the north when half of them live in Mayorca? All of this must be rationalized and a more durable method of bacterial extermination adopted.,Globalization has gone mad: why transport Spanish cucumbers to exterminate the northern Germans when half of them live in Mayorca? All this needs to be rationalized and a more lasting method of bacterial extermination adopted.,Globalization has gone crazy: why transport Spanish cucumbers to exterminate the northern Germans when half of them live in Majorca? We need to rationalize all of that and adopt a more lasting method of bacterial extermination.
"The go board has squares, but it does not have light and dark squares like chess and checkers boards. In go, stones are not placed in ""squares"", but at the intersections of lines, horizontal and vertical, drawn on the board.","The go board has pictures, but it does not have light and dark squares like chess boards and checkers. In go, the stones are not placed in ""boxes"", but in the intersections of lines, horizontal and vertical, drawn on the board.","The go board has squares, but it does not have clear and dark squares like chess and checkers boards. In go, stones are not placed on ""squares"", but on the intersections of lines, horizontal and vertical, drawn on the board."
"Mastery is the best goal because the rich cannot buy it, the impatient cannot rush it, the privileged cannot inherit it, and no one can steal it. It can only be achieved through effort. Mastery is the supreme status.","Mastery is the best goal because the rich cannot buy it, the impatient cannot rush it, the privileged cannot inherit it, and no one can steal it. It can only be achieved through commitment. Mastery is the supreme status.","Mastery is the ultimate goal because the wealthy cannot buy it, the impatient cannot rush it, the privileged cannot inherit it, and no one can steal it. It can only be achieved through effort. Mastery is the supreme status."
"Whatever you do, do it with a purpose; do it thoroughly, not superficially. Get to the bottom of things. Anything half done, or half known, in my mind is neither done nor known at all. No, what is worse, because it is often confusing.","Whatever you do, do it with a purpose; do it thoroughly, not superficially. Go to the bottom of things. Anything you half-do, or half-know, in my mind is, neither made nor known at all. No, what is worse, because it often confuses.","Whatever you do, do it with a purpose; do it thoroughly, not superficially. Get to the bottom of things. Anything half done, or half known, in my mind is, neither done nor known at all. No, what is worse, because it often confuses."
"Contrails are long, narrow clouds of ice crystals that form behind high-altitude jet aircraft at sub-zero temperatures. They are the result of the condensation of water vapor contained in the jet exhaust.","The condensation steles are long, narrow clouds of ice crystals formed after jet jets at high altitude at temperatures below zero. They are the result of condensation of the water vapour contained in the jet exhaust.","Contrails are long, narrow clouds of ice crystals that form behind high-altitude jet-propelled airplanes at subzero temperatures. They result from the condensation of water vapor in the jet's exhaust."
"One day Mario won the lottery. ""How lucky!"" you will say; The problem is that he was with Luisa, who, as soon as he found out about her, took the opportunity to steal her ticket and collect it herself. Since then she has not returned, although she sent him a postcard thanking him.","One day Mario got the lottery. “How fortunate!” you will say; the problem is that he was with Luisa, who, as soon as he found out, took advantage of it to steal her ticket and collect it from her. She did not return since then, although she sent him a postcard thanking him.","One day Mario won the lottery. ""How lucky!"" you will say; the problem is that he was with Luisa, who, as soon as she found out, took the ticket and cashed it herself. Since then, she never came back, although she sent him a postcard thanking him."
"Don Quixote spent three days and three nights with Roque, and if he were three hundred years old, he would not lack something to look at and admire in the way of his life: here they woke up, there they ate; sometimes they fled, without knowing from whom, and other times they waited, without knowing who.","Three days and three nights Don Quixote was with Roque, and if he were three hundred years old, he did not lack what to look at and admire in the way of his life: here they nursed, he ate; sometimes they fled, without knowing from whom, and others waited, without knowing whom.","Three days and three nights Don Quijote spent with Roque, and if he were to stay for three hundred years, he would not lack things to look at and admire in the way of his life: here they would wake up, there they would eat; sometimes they would flee, not knowing from whom, and other times they would wait, not knowing for whom."
"Although laser communications can provide increased data transmission rates, atmospheric disturbances - such as clouds or turbulence - can interfere with laser signals as they pass through Earth's atmosphere.","Although laser communications can provide an increased speed of data transmission, atmospheric disturbances - such as clouds or turbulence - can interfere with laser signals as they traverse the Earth's atmosphere.","Although laser communications can provide increased data transmission speed, atmospheric disturbances - such as clouds or turbulence - can interfere with laser signals as they travel through Earth's atmosphere."
"After all, ""femininity"" is something that a woman is naturally invested with, it takes no effort to teach it, and it is of such a quality that even if one were to make conscious attempts to hide it it would lead to nothing. .","After all, ""femininity"" is something with which women are naturally invested, no effort is needed to teach it, and it is of such quality that even if one were to make conscious attempts to hide it would not lead to anything.","After all, ""femininity"" is something with which women are naturally endowed, it requires no effort to display, and is of such a quality that even if one were to make conscious attempts to conceal it, it would lead to nothing."
"I was talking to my therapist in high school, and seeing that we were having a good time, I suddenly thought I had a chance, and I tried to kiss her. But she told me to stop. She felt so embarrassed as she walked to my next class.","I was talking to my therapist in high school, and seeing that we were having a good time, suddenly I thought I had a chance, and I tried to kiss her. But she told me to stop. I felt so ashamed as I walked to my next class.","I was talking to my therapist in high school, and seeing that we were having a good time, suddenly I thought I had a chance, and I tried to kiss her. But she told me to stop. I felt so embarrassed as I walked to my next class."
"Shinichiro Watanabe once thought about making an anime about Christopher Columbus, but concluded that even anime wasn't expressive enough to faithfully portray the surreal genius of Christopher Columbus' exploits.","Once, Shinichiro Watanabe thought of making an anime about Christopher Columbus, but concluded that even the anime was not expressive enough to faithfully portray the surreal genius of Christopher Columbus' exploits.","Once, Shinichiro Watanabe thought about making an anime about Christopher Columbus, but he came to the conclusion that not even anime was expressive enough to faithfully portray the surreal genius of Christopher Columbus's exploits."
"From September 26 to 28, 2015, nine people from five countries met in Brno (Czech Republic) to have fun together learning to use the Toki Pona language. In this video they are in a university botanical garden and they talk about what they see.","From 26 to 28 September 2015, nine people from five countries gathered in Brno (Czech Republic) to have fun together learning toki pona. In this video they are in a university botanical garden and talk about what they see.","From September 26th to 28th, 2015, nine people from five countries gathered in Brno (Czech Republic) to have fun together while learning to use the toki pona language. In this video, they are in a university botanical garden and talk about what they see."
"To deal with repeat offenders, Mr Johnson will also establish a 'two strikes and you're out' policy - serious breaches of the rules will result in permanent removal of free travel rights.","In order to deal with repeat offenders, Mr. Johnson will also establish a policy of “two warnings and you are out” - serious breaches of the rules will result in the permanent abolition of rights to travel freely.","In order to deal with repeat offenders, Mr. Johnson will also establish a ""two strikes and you're out"" policy - serious violations of the rules will result in the permanent revocation of the rights to travel freely."
"All science is empirical; but the validity of the results obtained in each experiment is inseparably linked to the conditions and context of consciousness in which the test is carried out, that is, the totality of our nature.","All science is empirical; but the validity of the results obtained in each experiment is inseparably linked to the conditions and context of the consciousness in which the trial is carried out, that is, the totality of our nature.","All science is empirical; but the validity of the results obtained in each experiment is inseparably linked to the conditions and context of consciousness in which the test is carried out, that is, the totality of our nature."
"He wrote an epitaph to his beloved telling him everything he had never dared to say, despite knowing that it was already too late. If she had still been alive and had had the chance to hear it, perhaps her ending would have been different.","She wrote an epitaph to her beloved telling her everything she had never dared to say, despite knowing it was too late. If she had still been alive and had the opportunity to hear it, perhaps her ending would have been different.","He wrote an epitaph to his beloved, telling her everything he had never dared to say, despite knowing it was already too late. If she had still been alive and had had the chance to hear it, perhaps her ending would have been different."
"The President's plan requires anyone who is undocumented to correct their legal status by paying taxes and a fine, learning English, and undergoing background checks before they are eligible for citizenship.","The President's plan requires anyone who is undocumented to correct his or her legal situation by paying his or her taxes and a fine, learning English, and submitting to background checks before he or she is eligible for citizenship.","The President's plan requires that anyone who is undocumented correct their legal status by paying their taxes and a fine, learning English, and undergoing a background check before being eligible to obtain citizenship."
"Life is synonymous with chemical engineering of inconceivable complexity, compartmentalization, and wonderfully precise organization. It is absolutely impossible to attribute it to the god Chance and the unconscious and blind action of the goddess Natural Selection.","Life is synonymous with chemical engineering of inconceivable complexity, compartmentalization and wonderfully precise organization. It is absolutely impossible to attribute it to the god Azar and to the unconscious and blind action of the goddess Natural Selection.","Life is synonymous with chemical engineering of inconceivable complexity, compartmentalization, and wonderfully precise organization. It is absolutely impossible to attribute it to the god Chance and the unconscious and blind action of the goddess Natural Selection."
"Continue straight, then take the second street on the left and immediately turn right again. That will be Karlova Street and then you should continue straight across the Charles Bridge towards Mostecká Street and to Malostranské Square.","Go straight ahead, then take the second street to the left and turn right again immediately. That will be Karlova Street and then you should continue straight through the Charles Bridge to Mostecká Street and to Malostranské Square.","Go straight, then take the second street on the left and immediately turn right again. That will be Karlova Street and then you should continue straight through Charles Bridge towards Mostecká Street and up to Malostranské Square."
"Our plan puts people at the center of every decision, and our immunization rollout will guide us through the spring and summer, ensuring those who need the vaccine most receive it as soon as possible.","Our plan puts people at the center of every decision, and our deployment of immunizations will guide us through spring and summer, ensuring that those who need the vaccine the most receive it as soon as possible.","Our plan places people at the center of each decision, and our immunization rollout will guide us through the spring and summer, ensuring that those who need the vaccine the most receive it as soon as possible."
"You are wrong, Your Holiness is wrong, I say this with respect. Christ did not arrive here with Columbus, it was the Antichrist who arrived. The indigenous holocaust was worse than the Holocaust of World War II, neither the pope nor anyone else can deny that.","He is wrong, His Holiness is wrong, I say it with respect. Christ did not come here with Columbus, who arrived was the Antichrist. The indigenous holocaust was worse than the Holocaust of World War II, neither the pope nor anyone can deny that.","You are wrong, Your Holiness is wrong, I say it with respect. Christ did not come here with Columbus, who arrived was the Antichrist. The indigenous holocaust was worse than the Holocaust of the Second World War, neither the pope nor anyone can deny that."
"He was born just in the generation after the end of slavery. A time when there were no cars on the roads or airplanes in the sky, when someone like her could not vote for two reasons: because she was a woman and because of the color of her skin.","She was born just in the generation following the end of slavery, a time when there were no cars on the roads or planes in the sky, when someone like her could not vote for two reasons: because she was a woman and because of the color of her skin.","She was born just in the generation following the end of slavery. A time when there were no cars on the roads or planes in the sky, when someone like her couldn't vote for two reasons: for being a woman and because of the color of her skin."
"The mortal remains of the Spanish actress Sara Montiel now rest in the San Justo Cemetery in Madrid alongside her mother and sister after an emotional funeral in which family, friends and admirers have said their last goodbye to the actress.","The remains of the Spanish actress Sara Montiel are already resting at the Cemetery of San Justo in Madrid with her mother and sister after an emotional funeral in which family, friends and admirers have given the actress the last farewell.","The mortal remains of the Spanish actress Sara Montiel now rest in the San Justo Cemetery in Madrid alongside her mother and sister after an emotional funeral in which family, friends, and fans bid farewell to the actress."
"Philosophy teaches us to feel insecure about things that seem self-evident to us. On the other hand, propaganda teaches us to accept obvious matters which it would be reasonable to submit to our judgment or question.","Philosophy teaches us to feel insecure about things that seem self-evident to us. On the other hand, propaganda teaches us to accept for obvious matters that would be reasonable to submit to our judgment or to question.","Philosophy teaches us to feel insecure about things that seem obvious to us. On the other hand, propaganda teaches us to accept as obvious matters that would be reasonable to subject to our judgment or to question."
"There is no sin, and there can be no sin on Earth that God does not forgive the one who sincerely repents. Man cannot commit a sin so great that it exhausts the infinite love of God. Can there be any sin that surpasses the love of God?","There is no sin, and there can be no sin on earth that God will not forgive the one who sincerely repents. Man cannot commit a sin so great that he exhausts God’s infinite love. Can there be any sin that overcomes God’s love?","There is no sin, and there can be no sin on Earth that God will not forgive to those who sincerely repent. Man cannot commit a sin so great that it exhausts God's infinite love. Can there be any sin that surpasses God's love?"
"No one will be subjected to arbitrary interference with his or her private life, family, home or correspondence, nor to attacks on his or her honor or reputation. Everyone has the right to the protection of the law against such interference or attacks.","No one shall be subjected to arbitrary interference with his or her privacy, family, home or correspondence or to attacks on his or her honour or reputation; everyone shall be entitled to the protection of the law against such interference or attacks.","No one shall be subjected to arbitrary interference with his privacy, family, home or correspondence, nor to attacks upon his honour and reputation. Everyone has the right to the protection of the law against such interference or attacks."
"Men must either be treated well or be beaten, because they can avenge small injuries, but they cannot avenge severe ones. Therefore, the injury caused to a man must be of the kind that prevents him from taking revenge.","Men must either be well treated or be crushed, because they can take revenge for small injuries, but severe ones cannot. Therefore, the injury caused to a man must be of the kind that prevents him from taking revenge.","Men should either be well treated or crushed, because they can avenge small injuries, but not severe ones. Therefore, the injury inflicted upon a man should be of a kind that prevents him from taking revenge."
"The digital information contained in DNA is just part of a complex information processing system, an advanced form of nanotechnology that mirrors and surpasses our own in complexity, storage density, and design logic.","The digital information contained in DNA is only part of a complex information processing system, an advanced form of nanotechnology that reflects and exceeds ours in complexity, storage density and design logic.","The digital information contained in DNA is just part of a complex information processing system, an advanced form of nanotechnology that reflects and surpasses ours in complexity, storage density, and design logic."
"No matter what musical instrument you want to learn to play, the most important thing is that, from the beginning, you don't make mistakes, because mistakes stick in your mind much more easily than anything you do correctly.","No matter which musical instrument you want to learn to play, the most important thing is that, from the beginning, don't make mistakes, because the mistakes remain recorded in your mind much more easily than anything you do correctly.","No matter what musical instrument you want to learn to play, the most important thing is that, from the beginning, you do not make mistakes, because mistakes are recorded in your mind much more easily than anything you do correctly."
"Typically printing companies around the world will be willing to pay perhaps a 20 percent premium to purchase a printer from Germany, as German printers are very robust and machined to exacting tolerances.","Normally printing companies around the world will be willing to pay perhaps 20 percent premium to buy a German printer, as German printers are very solid and machined with demanding tolerances.","Normally printing companies around the world would be willing to pay perhaps a 20 percent premium to buy a printer from Germany, as German printers are very robust and are machined with tight tolerances."
"There are four main causes of alcohol-related deaths. Injury from a car accident or violence is one. Diseases such as cirrhosis of the liver, cancer, diseases of the heart and the circulatory system are the others.","There are four main causes of alcohol-related deaths. Injury from a car accident or violence is one. Diseases such as liver cirrhosis, cancer, heart and circulatory system diseases are the others.","There are four main causes of alcohol-related deaths. Injury from a car accident or violence is one. Diseases such as liver cirrhosis, cancer, heart diseases, and circulatory system diseases are the others."
"Ruy López de Segura, priest and famous Spanish chess player of the 16th century, wrote a 150-page book, called Book of Chess, about the exhaustive studies he carried out on the opening (1.e4 e5 2.♘f3 ♘c6 3.♗b5 ) which bears his name.","Ruy López de Segura, a priest and famous Spanish chess player of the 16th century, wrote a 150-page book, called the Chess Book, about the exhaustive studies he carried out on the opening (1.e4 e5 2.","Ruy López de Segura, a priest and famous Spanish chess player from the 16th century, wrote a 150-page book called ""Libro del Ajedrez"" (The Book of Chess) about the exhaustive studies he conducted on the opening (1.e4 e5 2.♘f3 ♘c6 3.♗b5) that bears his name."
"There is a big difference between learning a language to understand or say something if necessary, and the aspiration to acquire a second language in order to express oneself freely, almost as in the first language, the mother tongue.","There is a great difference between learning a language to understand or say something in case of need, and the aspiration to acquire a second language in order to express oneself freely, almost as in the first language, the mother tongue.","There is a big difference between learning a language to understand or say something in case of necessity, and the aspiration to acquire a second language in order to express oneself freely, almost like in the first language, the mother tongue."
"There are mothers and fathers who lie awake after their children are asleep, wondering how to pay the mortgage or doctor's bills, or how to save enough money for their children's college education.","There are mothers and fathers who stay awake after their children have fallen asleep and wonder how to get paid the mortgage or doctor's bills, or how to save enough money for their children's college education.","There are mothers and fathers who stay awake after their children have fallen asleep and wonder how to afford the mortgage or medical bills, or how to save enough money for their children's college education."
"Keep all the land you want, said the Aboriginal chief. ""Oh no,"" said the English general, ""we will only be left with one island."" ""And what island?"" asked the Aboriginal chief. ""Only the island of Australia,"" replied the English general.","“Oh no,” the English general said, “we will only keep an island.” “And what island?” the Aboriginal chief asked. “Only the island of Australia,” the English general replied. “What is the island?”","""Keep all the land you want,"" said the indigenous chief. ""Oh no,"" said the English general, ""we will only keep an island."" ""And which island?"" asked the indigenous chief. ""Only the island of Australia,"" replied the English general."
"The white knight on f3 was pinned by the black bishop on g4, but jumped and captured a black knight on e5, allowing the black bishop to capture the white queen on d1. It was a beautiful intuitive sacrifice. White won the game.","The white horse in f3 was immobilized by the black bishop in g4, but jumped and captured a black horse in e5, which allowed the black bishop to capture the white lady in d1. It was a beautiful intuitive sacrifice. White women won the game.","The white knight on f3 was immobilized by the black bishop on g4, but it jumped and captured a black knight on e5, allowing the black bishop to capture the white queen on d1. It was a beautiful intuitive sacrifice. The white side won the game."
"The first day I found an unknown bird that told me: <<If I were a dromedary I wouldn't be thirsty. What time is it? >> He drank the dewdrops from my hair, gave me three and a half glances and walked away saying: << Goodbye >> with his superb handkerchief.","On the first day I found an unknown bird who said to me: ""If I was a dromedary I wouldn't be thirsty.What time is it?Bye.""","On the first day, I found an unknown bird that told me, ""If I were a dromedary, I wouldn't be thirsty. What time is it?"" It drank the dew drops from my hair, gave me three and a half glances, and walked away saying, ""Goodbye"" with its haughty handkerchief."
"Whoever thinks: ""Today everyone speaks English"" or ""everyone speaks English"" without asking themselves which sector of the world's population speaks English, and what their level of communicative aptitude is, does not want to see reality in front of their eyes. eyes.","Who thinks: ""Today everyone speaks English"" or ""everybody speaks English"" without asking what section of the world's population speaks English, and what is their level of communicational aptitude, is that they do not want to see the reality before their eyes.","Whoever thinks, ""At the present time everyone speaks English"" or ""everyone speaks English"" without wondering which sector of the world's population speaks English, and what their level of communicative aptitude is, is simply refusing to see the reality in front of their eyes."
"While preparing a broadcast in 1984, the American president joked lightly about how he had signed legislation that would put Russia beyond the law. He said, ""We will begin the bombing in five minutes.""","While preparing a broadcast in 1984, the US president joked lightly about how he had signed the legislation that would put Russia beyond the law. He said, ""We'll start the bombing in five minutes.""","While preparing a radio broadcast in 1984, the American president joked lightly about how he had signed the legislation that would put Russia beyond the law. He said, ""We begin bombing in five minutes."""
